Nombre	Vacunas exijidas	Vacunas recomendadas	,,,,

El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
IRAQ\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros de más de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado más de 12 horas en aeropuertos de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.

El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
INDONESIA\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
IR&#xC1;N REP&#xDA;BLICA ISL&#xC1;MICA\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros de más de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.

El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ARMENIA\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ESLOVENIA\tFiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
INDIA\tToda persona (con excepción de los niños de hasta 6 meses) que llegue por vía aérea o marítima sin disponer de un certificado de vacunación de fiebre amarilla (2014), es aislada durante un máximo de 6 días si dicha persona: I) Llega en los 6 días siguientes de haber salido de una zona con riesgo de transmisión de la fiebre amarilla, o II) Ha permanecido en tránsito en dicha zona (salvo si los pasajeros y los miembros de la tripulación permanecieron durante todo el período de tránsito dentro del edificio del aeropuerto situado en la zona con riesgo de transmisión de la fiebre amarilla y el funcionario médico del aeropuerto aprueba dicha exención), o III) Llega en un barco que haya partido o tocado un puerto situado en una zona de fiebre amarilla con riesgo de transmisión hasta 30 días antes de su llegada a la India, salvo si el barco ha sido desinsectado conforme al procedimiento establecido por la OMS, o IV) Llega en un avión que, habiendo permanecido en una zona con riesgo de transmisión de la fiebre amarilla, no haya sido desinsectado conforme a lo dispuesto en el Reglamento de la India sobre Navegación Aérea (Salud Pública) de 1954, o según recomienda la OMS.
Se consideran zonas de riesgo de transmisión de la fiebre amarilla los países y zonas siguientes:
África: Angola, Benin, Burkina Faso, Burundi, Camerún, Congo,Costa de Marfil, Chad, Etiopía, Gabón, Gambia, Ghana, Guinea, Guinea-Bissau, Guinea Ecuatorial, Kenia, Liberia, Malí, Níger, Nigeria, República Centroafricana, República Democrática del Congo, Ruanda, Senegal, Sierra Leona, Sudán, Tanzania, Togo y Uganda.
América: Brasil, Colombia, Ecuador, Estado Plurinacional de Bolivia, Guyana, Guayana Francesa, Panamá, Perú, República Bolivariana de Venezuela, Surinam y Trinidad y Tobago.
NOTA: Si un caso de fiebre amarilla es notificado en un país no incluido en la lista anterior, la India considerará dicho país como país con riesgo de transmisión de la fiebre amarilla y lo añadirá a la lista.
Recomendaciones contra la fiebre amarilla para los viajeros: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.
Otros requisitos: Vacunación oral frente a la Poliomielitis por lo menos 4 semanas antes del viaje, para viajeros provenientes de países con Poliomielitis endémica (Afganistán, Nigeria y Pakistán) y países con circulación de poliovirus luego de su importación (Etiopía, Kenia, Somalia, República Árabe Siria).\t,
ISLAS CAIM&#xC1;N\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLANDIA\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLAS CHRISTMAS\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\tLos mismos requisitos que para Australia continental. Ninguna recomendación contra la fiebre amarilla.\t,
ISLAS FAEROE (Feroe)\tFiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLAS MALVINAS\tFiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLAS COOK\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLAS MARSHALL\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLAS PALAOS (PALAU)\tRecomendaciones de vacunación contra la fiebre amarilla: ninguna.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLAS MARIANAS DEL NORTE\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLAS V&#xCD;RGENES AMERICANAS\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLAS SALOM&#xD3;N\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLAS V&#xCD;RGENES BRIT&#xC1;NICAS\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
GUINEA (CONAKRY)\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: Sí.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLA PITCAIRN\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros  mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ITALIA\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
JAMAICA\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
IRLANDA (EIRE)\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISLAS WAKE\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
KAZAJST&#xC1;N\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros procedentes de países con riesgo de transmisión de la fiebre amarilla.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
KIRIBATI\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
KENIA\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendación de vacunación contra la fiebre amarilla: Sí. Generalmente no recomendada en áreas donde el riesgo de exposición es bajo: la totalidad de la provincia del noreste; los estados de Kilifi, Kwale, Lamu, Malindi y Tanariver en la provincia costera, y  las ciudades de Nairobi y Mombasa. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por ejemplo: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito).\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
KIRGUIST&#xC1;N\tSe exige certificado de vacunación contra la fiebre amarilla a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
LAOS, Rep. Dem. Popular\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
KUWAIT\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
LESOTHO\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros de más de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
LETONIA\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
LIBERIA\tSe exige certificado de vacunación contra la Fiebre Amarilla a todos los viajeros mayores de un año de edad.
Recomendaciones de vacunación contra la fiebre amarilla: Sí.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
LIBIA\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado por un aeropuerto de un país con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.
El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
LIECHTENSTEIN\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
L&#xCD;BANO\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 9 meses procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
LITUANIA\tFiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
LUXEMBURGO\tFiebre Amarilla (2014): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MACEDONIA\tFiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MADAGASCAR\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros de más de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MACAO\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
ISRAEL\tFiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MALAWI\tSe exige certificado de vacunación contra la Fiebre Amarilla (2013) a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MALDIVAS\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MAURICIO\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.

El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MAL&#xCD;\tSe exige certificado de vacunación contra la Fiebre Amarilla (2013) a todos los viajeros mayores de un año. Recomendaciones de vacunación contra la fiebre amarilla: Sí. Recomendada para todos los viajeros mayores de 9 meses que viajan a zonas del sur del desierto del Sáhara. No recomendada para viajeros cuyo itinerario se limite a áreas del desierto del Sáhara.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MAURITANIA\tSe exige certificado de vacunación contra la Fiebre Amarilla (2013) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: Sí. Recomendada para todos los viajeros mayores de 9 meses que viajan a zonas del sur del desierto del Sáhara. No recomendada para viajeros cuyo itinerario se limite a áreas del desierto del Sáhara.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MARTINICA\tSe exige certificado de vacunación contra la fiebre amarilla (2013) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MAYOTTE\tSe exige certificado de vacunación contra la fiebre amarilla (2013) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MOLDAVIA (Moldova)\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
M&#xC9;XICO\tFiebre Amarilla (2015): Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
JAP&#xD3;N\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MARRUECOS\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MALTA\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de nueves meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarillo. Los niños menores de 9 meses de edad procedentes de zonas con riesgo de transmisión de la fiebre amarilla pueden ser aislados o puestos bajo vigilancia si se considera justificado desde el punto de vista epidemiológico. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.
El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
M&#xD3;NACO\tFiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
JORDANIA\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que transiten más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Ningún requisito de vacunación frente a la fiebre amarilla.
El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MONGOLIA\tNingún requisito de vacunación para los viajeros internacionales.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MYANMAR (Burma)\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos. Los nacionales y residentes en Myanmar que salen del país hacia una zona con riesgo de transmisión de la fiebre amarilla deben disponer del certificado de vacunación. Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido de por vida.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MONTENEGRO\tNingún requisito de vacunación para los viajeros internacionales.

Recomendación de vacunación contra la fiebre amarilla (2013): ninguna.\t,,
NAMIBIA\tSe exige certificado de vacunación contra la Fiebre Amarilla (2013) a los viajeros procedentes de países con riesgo de transmisión de la fiebre amarilla. Se consideran zonas con riesgo de transmisión los países o partes de países situados en zonas endémicas de África y América del Sur. No se exige certificado a los pasajeros de líneas aéreas regulares que hayan iniciado su viaje fuera de países con riesgo de transmisión aunque hayan pasado en tránsito por tales países si no han salido del aeropuerto de escala o la ciudad adyacente durante el mismo. Todos los pasajeros que hayan comenzado su viaje en un país con riesgo de transmisión o hayan pasado en tránsito por uno de dichos países y no viajen en un avión de línea regular deben presentar un certificado. No se exige certificado a los niños menores de un año de edad, pero podrán ser sometidos a vigilancia. Recomendaciones de vacunación contra la fiebre amarilla: No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
MOZAMBIQUE\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de un año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado por aeropuertos con riesgo de transmisión de la fiebre amarilla (con la excepción de Sudán del Sur y con la adición de Santo Tomé y Príncipe, Somalia, Rep.Unida de Tanzania en África; con la excepción de Argentina, Guayana Francesa y Paraguay en Sudamérica) . Recomendaciones de vacunación contra la fiebre amarilla: No.
El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
NICARAGUA\tNingún requisito de vacunación para los viajeros internacionales. Recomendaciones de vacunación contra la fiebre amarilla (2013): No.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
NEPAL\tSe exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros de más de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado por una aeropuerto de un país con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No. El certificado de vacunación es válido para 10 años.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
NAUR&#xDA;\tSe exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de un año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.\tEs conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.\t,
